face_id,timestamp,r,g,b
1,1781859843.497706,38.67268070,38.01555050,18.51384243
1,1781859843.532707,45.70928734,44.51135738,22.36993504
1,1781859843.596813,53.53316509,53.75955843,32.06866658
1,1781859843.658928,56.41430360,55.66722331,32.21853468
1,1781859843.743835,56.51844197,54.61065836,31.56072298
1,1781859843.804391,57.28024633,52.25390565,28.38977697
1,1781859843.868792,49.93799720,43.53393736,25.39402841
1,1781859843.934811,42.25387036,36.27003850,20.00901731
1,1781859843.999380,46.35893787,37.57075519,25.40738143
1,1781859844.061367,45.65249104,35.70922176,27.16828704
1,1781859844.143174,43.54926408,34.97227538,25.07014470
1,1781859844.209457,48.42517490,37.46930413,30.28331087
1,1781859844.266217,45.39136084,36.48338354,27.60818577
1,1781859844.334023,45.09859699,36.20629722,27.64963246
1,1781859844.396550,41.76618037,33.24313094,25.63274544
1,1781859844.456822,42.48931657,36.11882625,26.19728756
1,1781859844.537167,47.19248330,39.87128009,29.07805264
1,1781859844.603369,55.14440770,44.31434115,35.49581428
1,1781859844.672480,59.35141728,48.21535414,39.03213915
1,1781859844.737236,66.06229472,53.45038556,44.23398874
1,1781859844.798707,71.06784377,57.96229895,47.57874610
1,1781859844.861988,75.65258522,61.28033587,51.62558246
1,1781859844.940151,77.14320511,63.19485430,51.82421861
1,1781859845.005190,87.48561352,71.71171826,54.18336618
1,1781859845.065431,91.91656308,72.55775374,58.84306632
1,1781859845.131769,92.77028357,73.48548107,59.40168514
1,1781859845.201629,96.88091758,76.70780149,61.77154652
1,1781859845.263946,100.64417644,80.10501677,64.03735258
1,1781859845.342885,102.40180439,81.42073189,65.35290799
1,1781859845.406956,102.77148748,81.87472529,65.11749917
1,1781859845.470408,104.10654119,82.60326047,65.30007616
1,1781859845.534981,104.40377541,82.96021606,66.05581238
1,1781859845.600256,107.06463331,84.93477954,67.38353169
1,1781859845.662845,108.78318164,86.73788702,69.21139861
1,1781859845.738217,108.87715436,87.10794643,68.91191364
1,1781859845.806263,108.75343455,87.35587766,68.81079808
1,1781859845.871694,108.06273018,86.69265838,67.85168526
1,1781859845.934037,107.30590731,86.24489246,68.24516144
1,1781859845.998643,107.00943266,89.01218357,66.26325331
1,1781859846.063952,112.03697632,90.44025779,71.90970642
1,1781859846.146354,110.35794668,89.30491255,70.49940200
1,1781859846.207083,109.07325182,87.57812928,68.60651359
1,1781859846.273202,102.93824670,84.28935362,62.40752221
1,1781859846.336321,99.75661239,81.46731511,59.83235153
1,1781859846.400059,100.49365205,81.94087759,60.17499683
1,1781859846.462435,100.20338906,81.62127329,59.55993376
1,1781859846.538752,100.09021423,81.95437046,60.82218447
1,1781859846.609051,102.40655209,83.99378855,61.55699348
1,1781859846.674823,103.17658683,84.88553530,61.98291411
1,1781859846.735507,103.56341393,85.29025626,62.43814099
1,1781859846.796302,105.95254875,87.46452803,63.86738555
1,1781859846.873317,109.17768061,90.82687703,67.03753161
1,1781859847.152384,102.44897217,88.31879113,66.12290637
1,1781859847.192981,102.78271479,91.27640331,70.10817036
1,1781859847.259580,86.75342535,75.81759723,58.47038769
1,1781859847.340040,80.07784062,69.44556444,53.98586587
1,1781859847.403141,75.44984268,65.70188281,50.46066850
1,1781859847.466969,69.31190474,60.26453685,46.70195352
1,1781859847.532125,61.90025697,53.75711762,42.03325384
1,1781859847.604091,57.76408143,50.45307767,39.68161741
1,1781859847.658208,58.73285185,49.04342696,41.23817755
1,1781859847.739551,59.34070862,51.60264162,38.97995742
1,1781859847.802588,73.88186531,65.48824125,50.04471055
1,1781859847.866465,87.20092966,78.29222021,63.38579807
1,1781859847.931770,96.19575624,86.35523472,68.98645978
1,1781859847.994167,100.69890492,90.29131939,70.03719722
1,1781859848.059633,102.20264071,91.23717601,70.60703059
1,1781859848.139343,103.94475530,92.98987291,70.18189537
1,1781859848.202962,107.03987560,95.24409442,71.81565395
1,1781859848.266798,106.34824537,94.91055309,71.18285400
1,1781859848.330673,106.85149548,94.93283753,70.83345466
1,1781859848.395418,109.21270120,97.27793918,73.00697068
1,1781859848.457523,108.97438826,96.81431753,71.99811257
1,1781859848.537929,108.79962592,96.76341814,72.18665404
1,1781859848.612639,108.35433982,95.96622148,70.25344061
1,1781859848.664574,105.47729231,92.80802967,67.69889172
1,1781859848.730896,104.04623170,91.05559056,65.21699380
1,1781859848.794953,106.68314922,93.34975478,66.66747580
1,1781859848.856563,105.32016555,92.02658286,65.92436959
1,1781859848.937326,105.20645331,92.17054939,65.66302135
